Rank,Account,Decision,Segment,Geography,Fit,Timing,Evidence Strength,Latest Change,Change Date,Latest Evidence Age,Source Count,Corroborated,Primary Limiter,Validate Next,Decision Rationale,Recommended Next Step
1,Éteka,Validar,Hotelería y spa,Colombia,Moderate,,Moderate,,,,1,No,No está confirmado que compre productos de terceros ni quién decide.,No está confirmado que compre productos de terceros ni quién decide.,"Validar: el encaje estructural es moderado y está respaldado por una fuente oficial, pero permanece sin confirmar: no está confirmado que compre productos de terceros ni quién decide. No existe evidencia de intención de compra ni de timing actual.","Confirmar modelo de retail/regalo, responsable de compra y manejo de vidrio."
2,Celestino Hotel Boutique & Spa,Validar,Hotelería y spa,Colombia,Moderate,,Moderate,,,,1,No,No se verificó retail de terceros ni frecuencia de reposición.,No se verificó retail de terceros ni frecuencia de reposición.,"Validar: el encaje estructural es moderado y está respaldado por una fuente oficial, pero permanece sin confirmar: no se verificó retail de terceros ni frecuencia de reposición. No existe evidencia de intención de compra ni de timing actual.","Confirmar área compradora, caso de uso y cadencia potencial."
3,Sinergy On,Validar,Regalos corporativos,Colombia,Moderate,,Moderate,,,,1,No,No hay evidencia de un proyecto activo ni de aceptación del formato.,No hay evidencia de un proyecto activo ni de aceptación del formato.,"Validar: el encaje estructural es moderado y está respaldado por una fuente oficial, pero permanece sin confirmar: no hay evidencia de un proyecto activo ni de aceptación del formato. No existe evidencia de intención de compra ni de timing actual.","Validar brief, volumen, plazo, personalización y economía."
4,Vitálica,Validar,Retail especializado,Colombia,Moderate,,Moderate,,,,1,No,"Margen, alta como proveedor y desempeño de líquidos no están confirmados.","Margen, alta como proveedor y desempeño de líquidos no están confirmados.","Validar: el encaje estructural es moderado y está respaldado por una fuente oficial, pero permanece sin confirmar: margen, alta como proveedor y desempeño de líquidos no están confirmados. No existe evidencia de intención de compra ni de timing actual.","Preguntar por categoría, documentación, margen y reposición."
5,Ser Saludable,Priorizar,Retail especializado,Colombia,Moderate,,Moderate,,,,1,No,"Apertura de categoría, comprador y requisitos documentales.","Apertura de categoría, comprador y requisitos documentales.","Priorizar: el encaje estructural es moderado y está respaldado por una fuente oficial, pero permanece sin confirmar: apertura de categoría, comprador y requisitos documentales. No existe evidencia de intención de compra ni de timing actual.","Confirmar lenguaje no médico, documentación y proceso de alta."
6,Masaya Collection,Priorizar,Hotelería y spa,Colombia,Moderate,,Moderate,,,,1,No,"No se verificó compra de terceros, autonomía local ni encaje de 50 unidades.","No se verificó compra de terceros, autonomía local ni encaje de 50 unidades.","Priorizar: el encaje estructural es moderado y está respaldado por una fuente oficial, pero permanece sin confirmar: no se verificó compra de terceros, autonomía local ni encaje de 50 unidades. No existe evidencia de intención de compra ni de timing actual.","Identificar propiedad, caso de uso y nivel de decisión."
7,Natural + Mente,Priorizar,Retail especializado,Colombia,Moderate,,Moderate,,,,1,No,"Acceso comprador, margen, posicionamiento premium y recompra.","Acceso comprador, margen, posicionamiento premium y recompra.","Priorizar: el encaje estructural es moderado y está respaldado por una fuente oficial, pero permanece sin confirmar: acceso comprador, margen, posicionamiento premium y recompra. No existe evidencia de intención de compra ni de timing actual.","Confirmar alta como proveedor, comparación de precio y criterios de rotación."
8,Hotel Charleston Santa Teresa Spa,Monitorear,Hotelería y spa,Colombia,Moderate,,Moderate,,,,1,No,proceso de compras puede ser complejo y no hay retail de terceros confirmado.,proceso de compras puede ser complejo y no hay retail de terceros confirmado.,"Monitorear: el encaje estructural es moderado y está respaldado por una fuente oficial, pero permanece sin confirmar: proceso de compras puede ser complejo y no hay retail de terceros confirmado. No existe evidencia de intención de compra ni de timing actual.","Validar autonomía del spa, canal de compra y tamaño mínimo."
9,Habibi Plantitas,Monitorear,Regalos corporativos,Colombia,Moderate,,Moderate,,,,1,No,"Aceptación de ingeribles, volumen y recurrencia.","Aceptación de ingeribles, volumen y recurrencia.","Monitorear: el encaje estructural es moderado y está respaldado por una fuente oficial, pero permanece sin confirmar: aceptación de ingeribles, volumen y recurrencia. No existe evidencia de intención de compra ni de timing actual.","Confirmar manejo de producto, temporadas, personalización y margen."
10,Funat,Monitorear,Retail especializado,Colombia,Moderate,,Moderate,,,,1,No,Apertura a marcas externas y solapamiento competitivo.,Apertura a marcas externas y solapamiento competitivo.,"Monitorear: el encaje estructural es moderado y está respaldado por una fuente oficial, pero permanece sin confirmar: apertura a marcas externas y solapamiento competitivo. No existe evidencia de intención de compra ni de timing actual.","Validar rol comercial, política de terceros y diferenciación."
